municipality,region,years_of_commission,denounce_to_church,year_first_denounce,year_last_denounce,title,number_of_affected,legal_status,press_article,,,,,,,,,,,
rancagua,o'higgins,2002-2013,,2016,,secular,,convicted,https://www.aciprensa.com/noticias/condenan-a-dos-lideres-de-grupo-pastoral-por-abuso-sexual-de-menores-33870,,,,,,,,,,,
rancagua,o'higgins,1970s-1980s,,2003,2017,priest,1,denounced,https://www.elperiodico.com/es/sociedad/20180106/el-escandalo-de-pederastia-de-los-maristas-se-reproduce-en-chile-6532833,,,,,,,,,,,
rancagua,o'higgins,,,2014,,priest,1,convicted,https://www.aciprensa.com/noticias/sacerdote-en-chile-es-condenado-por-abuso-sexual-contra-menor-71373,,,,,,,,,,,
machalí,o'higgins,2002-2013,,2016,,secular,5,convicted,https://www.aciprensa.com/noticias/condenan-a-dos-lideres-de-grupo-pastoral-por-abuso-sexual-de-menores-33870,,,,,,,,,,,
machalí,o'higgins,2002-2013,,2016,,secular,5,convicted,,,,,,,,,,,,
quinta de tilcoco,o'higgins,1966-1990s,,2000,2018,priest,6,dead,https://www.chvnoticias.cl/reportajes/los-testimonios-de-victimas-abusos-y-su-lucha-tras-30-anos-de-silencio_20180621/,,,,,,,,,,,
san fernando,o'higgins,1990s,,2018,,priest,2,denounced,https://www.cooperativa.cl/noticias/pais/iglesia-catolica/capellan-del-instituto-marista-de-san-fernando-fue-suspendido-de-sus/2018-05-22/180936.html,,,,,,,,,,,
chimbarongo,o'higgins,1980s-2000s,,1990,2011,secular,21,dead,https://laprensaaustral.cl/titular1/abogado-marcelo-vargas-tras-reunirse-con-monsenor-scicluna-rimsky-rojas-es-uno-de-los-criminales-mas-perversos-que-ha-andado-en-el-sur-de-chile/,,,,,,,,,,,
curico,maule,2007,,2011,,priest,1,convicted,https://www.diariolaprensa.cl/curico/condenan-a-sacerdote-francisco-cartes-por-el-delito-de-abuso-sexual/,,,,,,,,,,,
constitución,maule,1987-1988,,2017,2018,bishop,8,denounced,https://www.cooperativa.cl/noticias/pais/iglesia-catolica/ex-acolito-denuncio-abuso-sexual-en-constitucion-y-encubrimiento-de/2018-05-24/105152.html,,,,,,,,,,,
constitución,maule,1988,1988,2017,2017,presbyter,1,,,,,,,,,,,,,
talca,maule,1980s,1990,2019,2020,secular,2,,https://lavozdelosquesobran.cl/caso-salesianos-denuncian-a-ex-rector-del-colegio-salesianos-alameda-por-abuso-sexual/,,,,,,,,,,,
talca ,maule,,,2019,2019,priest,,,https://www.soychile.cl/Santiago/Sociedad/2019/08/26/612487/Salesianos-enviaron-a-la-Fiscalia-antecedentes-de-tres-sacerdotes-denunciados.aspx?utm_source=twitter&utm_medium=ttr&utm_campaign=Followers,,,,,,,,,,,
talca,maule,1990s,,2018,,priest,3,investigated,,,,,,,,,,,,
talca,maule,,,2010,2017,bishop,8,investigated,https://www.24horas.cl/programas/informeespecial/obispo-horacio-valenzuela-se-escapa-por-la-ventana-para-no-recibir-al-equipo-de-informe-especial-2773432,,,,,,,,,,,
talca,maule,2015,,2018,,priest,1,,https://www.cooperativa.cl/noticias/pais/region-del-maule/iglesia-expulso-a-ex-sacerdote-de-talca-por-abuso-de-autoridad-y-abuso/2018-06-25/114109.html,,,,,,,,,,,
linares,maule,1976-1977,,2011,,priest,1,dead,http://www.theclinic.cl/2011/06/08/iglesia-investigara-nuevo-caso-por-abusos-en-linares/,,,,,,,,,,,
linares,maule,2006-2009,,2015,2019,priest,3,dead,https://www.paralaconfianza.org/2019/08/05/declaracion-publica-caso-sacerdote-diego-munoz/,,,,,,,,,,,
curanipe,maule,,,2018,,priest,1,,https://www.cooperativa.cl/noticias/pais/iglesia-catolica/ex-acolito-denuncio-abuso-sexual-en-constitucion-y-encubrimiento-de/2018-05-24/105152.html,,,,,,,,,,,
chilán,ñuble,,,2018,,priest,,,https://laicismo.org/chile-obispo-castrense-detalla-a-fiscalia-cinco-casos-de-sacerdotes-de-las-ff-aa-denunciados-por-abusos/,,,,,,,,,,,
chilán,ñuble,,,2018,2018,priest,4,denounced,https://www.cooperativa.cl/noticias/pais/region-de-nuble/chillan-investigan-a-capellan-del-ejercito-y-a-otro-cura-por-abuso-de/2018-06-28/114244.html,,,,,,,,,,,
chilán,ñuble,,,2019,,priest,,,http://www.ladiscusion.cl/pdi-recibe-nueva-denuncia-contra-osvaldo-salgado/,,,,,,,,,,,
chillán,ñuble,2010,,2012,,priest,4,denounced,http://www.ladiscusion.cl/?p=80478&preview=true,,,,,,,,,,,
chillán,ñuble,,,2018,,bishop,,,http://www.elmostrador.cl/noticias/pais/2018/08/10/obispo-de-chillan-contra-la-pared-fiscal-confirma-denuncia-por-delitos-sexuales/,,,,,,,,,,,
chillán,ñuble,1001-1996,,2008,2018,priest,3,,http://www.theclinic.cl/2009/10/31/las-perversiones-sexuales-del-cura-de-chillan/,,,,,,,,,,,
chillán,ñuble,1976,,2018,2018,bishop,1,denounced,https://www.theclinic.cl/2018/06/07/victima-monsenor-cox-rompe-silencio-frotaba-cuerpo-mio-sentia-excitacion/,,,,,,,,,,,
tomé,bío bío,,,2019,,priest,,,https://twitter.com/KairosNewsChile/status/1114555147491971073,,,,,,,,,,,
penco,bío bío,2011,,2019,,priest,1,,https://m.elmostrador.cl/noticias/pais/2019/06/07/nuevo-caso-en-la-iglesia-catolica-investigan-a-sacerdote-de-chaiten-acusado-de-cometer-abuso-sexual-contra-un-menor-de-edad/,,,,,,,,,,,
hualpén,bío bío,,,2019,2020,secular,10,denounced,https://www.cooperativa.cl/noticias/pais/region-del-biobio/defensoria-de-la-ninez-se-querello-por-explotacion-sexual-infantil-en/2020-04-28/120033.html,,,,,,,,,,,
concepción,bío bío,,,2012,,priest,1,denounced,https://www.elciudadano.cl/justicia/papa-francisco-expulsa-de-la-iglesia-a-sacerdote-chileno-acusado-de-abusos-sexuales2016/04/26/,,,,,,,,,,,
concepción,bío bío,1992,,2018,2018,priest,3,,,,,,,,,,,,,
concepción,bío bío,1990s,,2018,,priest,,denounced,https://www.cooperativa.cl/noticias/pais/region-del-biobio/confirman-dos-nuevas-denuncias-contra-sacerdotes-por-abusos-en-concepcion/2018-10-08/203153.html,,,,,,,,,,,
concepción,bío bío,1990s,,2018,2018,priest,3,dead,https://www.cooperativa.cl/noticias/pais/region-del-biobio/confirman-dos-nuevas-denuncias-contra-sacerdotes-por-abusos-en-concepcion/2018-10-08/203153.html,,,,,,,,,,,
santa juana,bío bío,2002,,2015,,priest,1,investigated,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2020/01/08/denunciante-de-abuso-sexual-por-parte-de-exparroco-de-hualqui-declara-ante-juez-instructor-canonico.shtml,,,,,,,,,,,
los ángeles,bío bío,,,2018,,priest,1,investigated,https://laicismo.org/chile-obispo-castrense-detalla-a-fiscalia-cinco-casos-de-sacerdotes-de-las-ff-aa-denunciados-por-abusos/,,,,,,,,,,,
los ángeles,bío bío,,,2007,2019,bishop,4,denounced,https://www.redsobrevivientes.org/post/por-mi-culpa,,,,,,,,,,,
lebu,bío bío,,,2012,,order superior,1,,https://www.theclinic.cl/2013/07/25/cura-fue-declarado-culpable-de-abuso-a-menor-por-la-conferencia-episcopal-de-chile/,,,,,,,,,,,
purén,araucanía,1990s,,2017,,priest,1,investigated,https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2017/11/12/suspenden-a-sacerdote-de-puren-por-denuncia-de-abuso-sexual-ocurrido-hace-27-anos.shtml,,,,,,,,,,,
angol,araucanía,,,2018,,priest,2,convicted,http://www.malleco7.cl/noticias/2018/6/EX_PARROCO_DE_ANGOL_CONDENADO_POR_ABUSOS_A_MENORES.php?tit=Iglesia%20conden%C3%B3%20por%20abuso%20sexual%20a%20menores%20a%20ex%20p%C3%A1rroco%20de%20Inmaculada%20Concepci%C3%B3n,,,,,,,,,,,
angol,araucanía,1990s-2000s,,2018,2018,priest,,investigated,http://www.t13.cl/noticia/nacional/diocesis-temuco-confirma-sancion-abuso-sexual-menores-sacerdote,,,,,,,,,,,
angol,araucanía,,,2011,,priest,,,https://www.traiguencity.cl/obispado-prohibe-a-sacerdote-sancionado-por-abuso-sexual-de-menores-visitar-parroquia-de-traiguen-y-otras-de-la-zona/,,,,,,,,,,,
purén,araucanía,1990s,,2017,,priest,1,investigated,https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2017/11/12/suspenden-a-sacerdote-de-puren-por-denuncia-de-abuso-sexual-ocurrido-hace-27-anos.shtml,,,,,,,,,,,
temuco,araucanía,,,2011,,priest,8,investigated,https://www.traiguencity.cl/obispado-prohibe-a-sacerdote-sancionado-por-abuso-sexual-de-menores-visitar-parroquia-de-traiguen-y-otras-de-la-zona/,,,,,,,,,,,
temuco,araucanía,2008,,2015,,priest,1,investigated,https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2018/06/16/dos-denuncias-de-abuso-amplian-indagacion-canonica-contra-sacerdote-de-la-araucania.shtml,,,,,,,,,,,
cautín,araucanía,2001,,2018,,priest,1,investigated,http://www.larazon.cl/2018/07/27/region-de-la-araucania-suspenden-al-sacerdote-jaime-valenzuela-pozo-vicario-de-la-parroquia-de-perquenco-tras-ser-denunciado-por-abuso-sexual-a-menores/,,,,,,,,,,,
carahue,araucanía,,,2019,2019,priest,1,,,,,,,,,,,,,
carahue,araucanía,2001,2003,2011,2018,priest,1,investigated,http://opiniondefe.blogspot.com/2018/04/los-abusos-que-la-iglesia-catolica.html,,,,,,,,,,,
cunco,araucanía,2006-2011,,2011,,priest,10,convicted,https://www.latercera.com/noticia/condenan-a-sacerdote-de-cunco-por-abusos-sexuales-contra-cuatro-menores-de-edad/,,,,,,,,,,,
pucón,araucanía,1982-,,1992,2018,secular,11,investigated,https://www.lavozdepucon.cl/2018/09/05/fiscalia-investigara-causa-de-las-mujeres-que-acusaron-abusos-y-violaciones-en-colegio-catolico-de-huife-bajo/,,,,,,,,,,,
pucón,araucanía,1983-1994,,1984,2018,priest,6,dead,http://www.lavozdepucon.cl/2018/08/23/caso-del-padre-damian-heredia-surgen-testimonios-en-ovalle-de-posibles-abusos-cometidos-por-el-religioso/,,,,,,,,,,,
panguipulli,araucanía,1986,,2017,2018,priest,1,denounced,https://interferencia.cl/articulos/la-acusacion-por-violacion-un-menor-que-pesa-sobre-el-fallecido-cardenal-carlos-oviedo,,,,,,,,,,,
lanco,araucanía,2000,,2017,,priest,1,denounced,https://www.elmostrador.cl/noticias/pais/2018/07/23/el-caso-de-la-funcionaria-del-episcopado-abusada-sexualmente-por-un-sacerdote-y-la-desidia-de-la-jerarquia-de-la-iglesia/,,,,,,,,,,,
mariquina,los ríos,1964,,2019,2019,priest,1,dead,https://www.radiosago.cl/obispado-revela-dos-denuncias-por-abuso-sexual-ocurridos-en-la-diocesis-de-osorno/,,,,,,,,,,,
panguipulli,los ríos,1986,,2018,2018,priest,1,denounced,https://interferencia.cl/articulos/la-acusacion-por-violacion-un-menor-que-pesa-sobre-el-fallecido-cardenal-carlos-oviedo,,,,,,,,,,,
valdivia,los ríos,1980s-2000s,,1990,2011,secular,21,dead,https://laprensaaustral.cl/titular1/abogado-marcelo-vargas-tras-reunirse-con-monsenor-scicluna-rimsky-rojas-es-uno-de-los-criminales-mas-perversos-que-ha-andado-en-el-sur-de-chile/,,,,,,,,,,,
valdivia,los ríos,2009,,2009,,priest,,convicted,https://www.australvaldivia.cl/prontus4_nots/site/artic/20090422/pags/20090422000646.html,,,,,,,,,,,
paillaco,los ríos,,,2018,2018,priest,6,convicted,,,,,,,,,,,,
osorno,los lagos,1980s-1990s,,2016,2018,bishop,4,investigated,https://www.pagina12.com.ar/107523-juan-barros-era-testigo-de-todo-esto,,,,,,,,,,,
osorno,los lagos,1989,,2000,2019,priest,,dead,https://www.radiosago.cl/obispado-revela-dos-denuncias-por-abuso-sexual-ocurridos-en-la-diocesis-de-osorno/,,,,,,,,,,,
osorno,los lagos,,,1982,2018,bishop,,,,,,,,,,,,,,
osorno,los lagos,1976,1982,2018,,priest,1,dead,https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2019/07/19/obispado-de-osorno-confirma-nueva-denuncia-por-abuso-sexual-en-contra-del-sacerdote-pablo-bocker.shtml,,,,,,,,,,,
purranque,los lagos,,,2011,,priest,2,dismissed,https://www.biobiochile.cl/noticias/2011/10/18/investigan-nueva-denuncia-por-presunto-abuso-sexual-contra-sacerdote-miguel-angel-soto-macias.shtml,,,,,,,,,,,
puerto varas,los lagos,,,2018,,priest,6,denounced,,,,,,,,,,,,
puerto montt,los lagos,1970s,,2018,,priest,1,,,,,,,,,,,,,
puerto montt,los lagos,1980s,,2008,,priest,9,convicted,http://www.revistanos.cl/2012/11/las-caras-del-cura-audin-araya/,,,,,,,,,,,
puerto montt,los lagos,,,2018,,priest,1,,,,,,,,,,,,,
puerto montt,los lagos,2014,,2015,,priest,1,convicted,https://www.elmostrador.cl/noticias/pais/2019/03/19/declaran-a-sacerdote-vetero-catolico-culpable-de-abuso-sexual/,,,,,,,,,,,
puerto montt,los lagos,,,2018,,priest,1,denounced,https://www.jesuitas.cl/comunicado-publico/,,,,,,,,,,,
calbuco,los lagos,1990s,,2018,2018,priest,,denounced,https://www.aciprensa.com/noticias/arzobispado-investiga-a-dos-sacerdotes-por-presunto-abuso-sexual-en-chile-22833,,,,,,,,,,,
ancud,los lagos,,,2018,,priest,1,,,,,,,,,,,,,
quinchao,los lagos,2005,,2007,2018,priest,1,convicted,http://www.laestrellachiloe.cl/prontus4_nots/site/artic/20090823/pags/20090823034235.html,,,,,,,,,,,
villa manguiles,aysen,1975-2006,,2019,,priest,,dead,https://ciperchile.cl/2019/10/02/la-impunidad-de-los-religiosos-acusados-de-abuso-sexual-en-el-hogar-villa-san-luis-de-coyhaique/,,,,,,,,,,,
coyhaique,aysen,2000,,2011,2019,bishop,10,denounced,https://www.eldinamo.cl/nacional/2018/07/05/perfil-politico-de-luis-infanti-el-obispo-criticado-por-abusos-en-aysen-que-no-renuncio-ante-el-papa/,,,,,,,,,,,
puerto natales,magallanes,,,2013,,priest,1,dismissed,https://elpinguino.com/noticias/148818/Investigan-a-cura-por-abuso-sexual,,,,,,,,,,,
punta arenas,magallanes,1999,,2005,,priest,1,convicted,https://www.cooperativa.cl/noticias/pais/policial/pedofilia/sacerdote-acusado-de-abuso-sexual-fue-condenado-a-pena-remitida/2005-03-29/114454.html,,,,,,,,,,,
porvenir,magallanes,1990,,2001,2018,priest,3,convicted,https://www.theclinic.cl/2018/11/08/presencia-de-sacerdote-larrain-perez-cotapos-preocupa-a-profesoras-de-colegio-salesiano/,,,,,,,,,,,
